rate,window_duration,p_click_heralded
5.00e+06,1.00e-06,1.0e-08,0.778891
5.00e+06,1.00e-06,1.0e-07,0.778113
5.00e+06,1.00e-06,1.0e-06,0.776077
5.00e+06,1.00e-06,1.0e-05,0.778921
5.00e+06,1.00e-06,1.0e-04,0.776685
5.00e+06,1.00e-06,1.0e-03,0.777899
5.00e+06,1.00e-06,1.0e-02,0.781904
5.00e+06,1.00e-06,1.0e-01,0.814381
1.00e+07,1.00e-08,1.0e-08,0.504661
1.00e+07,1.00e-08,1.0e-07,0.514463
1.00e+07,1.00e-08,1.0e-06,0.513179
1.00e+07,1.00e-08,1.0e-05,0.502510
1.00e+07,1.00e-08,1.0e-04,0.494443
1.00e+07,1.00e-08,1.0e-03,0.504145
1.00e+07,1.00e-08,1.0e-02,0.510402
1.00e+07,1.00e-08,1.0e-01,0.561616
1.00e+07,2.00e-08,1.0e-08,0.511506
1.00e+07,2.00e-08,1.0e-07,0.511137
1.00e+07,2.00e-08,1.0e-06,0.505625
1.00e+07,2.00e-08,1.0e-05,0.515211
1.00e+07,2.00e-08,1.0e-04,0.500000
1.00e+07,2.00e-08,1.0e-03,0.509442
1.00e+07,2.00e-08,1.0e-02,0.519035
1.00e+07,2.00e-08,1.0e-01,0.568993
1.00e+07,5.00e-08,1.0e-08,0.534691
1.00e+07,5.00e-08,1.0e-07,0.535162
1.00e+07,5.00e-08,1.0e-06,0.526933
1.00e+07,5.00e-08,1.0e-05,0.525464
1.00e+07,5.00e-08,1.0e-04,0.531601
1.00e+07,5.00e-08,1.0e-03,0.521913
1.00e+07,5.00e-08,1.0e-02,0.535097
1.00e+07,5.00e-08,1.0e-01,0.585385
1.00e+07,1.00e-07,1.0e-08,0.557554
1.00e+07,1.00e-07,1.0e-07,0.564243
1.00e+07,1.00e-07,1.0e-06,0.559765
1.00e+07,1.00e-07,1.0e-05,0.561774
1.00e+07,1.00e-07,1.0e-04,0.561512
1.00e+07,1.00e-07,1.0e-03,0.563577
1.00e+07,1.00e-07,1.0e-02,0.568408
1.00e+07,1.00e-07,1.0e-01,0.611570
1.00e+07,2.00e-07,1.0e-08,0.623575
1.00e+07,2.00e-07,1.0e-07,0.622203
1.00e+07,2.00e-07,1.0e-06,0.620133
1.00e+07,2.00e-07,1.0e-05,0.621922
1.00e+07,2.00e-07,1.0e-04,0.623826
1.00e+07,2.00e-07,1.0e-03,0.621805
1.00e+07,2.00e-07,1.0e-02,0.630958
1.00e+07,2.00e-07,1.0e-01,0.667515
1.00e+07,5.00e-07,1.0e-08,0.775558
1.00e+07,5.00e-07,1.0e-07,0.776773
1.00e+07,5.00e-07,1.0e-06,0.779752
1.00e+07,5.00e-07,1.0e-05,0.774858
1.00e+07,5.00e-07,1.0e-04,0.776447
1.00e+07,5.00e-07,1.0e-03,0.776528
1.00e+07,5.00e-07,1.0e-02,0.779766
1.00e+07,5.00e-07,1.0e-01,0.815332
1.00e+07,1.00e-06,1.0e-08,0.924945
1.00e+07,1.00e-06,1.0e-07,0.924200
1.00e+07,1.00e-06,1.0e-06,0.925599
1.00e+07,1.00e-06,1.0e-05,0.924202
1.00e+07,1.00e-06,1.0e-04,0.923747
1.00e+07,1.00e-06,1.0e-03,0.924772
1.00e+07,1.00e-06,1.0e-02,0.926071
1.00e+07,1.00e-06,1.0e-01,0.942656
2.00e+07,1.00e-08,1.0e-08,0.510485
2.00e+07,1.00e-08,1.0e-07,0.514120
2.00e+07,1.00e-08,1.0e-06,0.512834
2.00e+07,1.00e-08,1.0e-05,0.519251
2.00e+07,1.00e-08,1.0e-04,0.514593
2.00e+07,1.00e-08,1.0e-03,0.516534
2.00e+07,1.00e-08,1.0e-02,0.507928
2.00e+07,1.00e-08,1.0e-01,0.557605
2.00e+07,2.00e-08,1.0e-08,0.526169
2.00e+07,2.00e-08,1.0e-07,0.520784
2.00e+07,2.00e-08,1.0e-06,0.523812
2.00e+07,2.00e-08,1.0e-05,0.523694
2.00e+07,2.00e-08,1.0e-04,0.528113
2.00e+07,2.00e-08,1.0e-03,0.525496
2.00e+07,2.00e-08,1.0e-02,0.527963
2.00e+07,2.00e-08,1.0e-01,0.582950
2.00e+07,5.00e-08,1.0e-08,0.562468
2.00e+07,5.00e-08,1.0e-07,0.560611
2.00e+07,5.00e-08,1.0e-06,0.562658
2.00e+07,5.00e-08,1.0e-05,0.563337
2.00e+07,5.00e-08,1.0e-04,0.562760
2.00e+07,5.00e-08,1.0e-03,0.562203
2.00e+07,5.00e-08,1.0e-02,0.569357
2.00e+07,5.00e-08,1.0e-01,0.612428
2.00e+07,1.00e-07,1.0e-08,0.624158
2.00e+07,1.00e-07,1.0e-07,0.623517
2.00e+07,1.00e-07,1.0e-06,0.623501
2.00e+07,1.00e-07,1.0e-05,0.621583
2.00e+07,1.00e-07,1.0e-04,0.622994
2.00e+07,1.00e-07,1.0e-03,0.625227
